metric,objective,cost_aware,framework,network,category,value
EDP x Cost,edp,True,SCAR-style,qwen3_235b_a22b_prefill_s1024_b1_seq1024,prefill-MoE,0.02685309058326996
EDP x Cost,edp,True,SCAR-style,qwen3_235b_a22b_prefill_s1024_b8_seq1024,prefill-MoE,3.3456468648558753
EDP x Cost,edp,True,SCAR-style,qwen3_235b_a22b_decode_kv1024_b1_seq1,decode-MoE,0.0014368228605346428
EDP x Cost,edp,True,SCAR-style,qwen3_235b_a22b_decode_kv1024_b8_seq1,decode-MoE,0.2810340037739638
EDP x Cost,edp,True,SCAR-style,mobilenet_v3_small_b1_seq1,cnn,3.7724363169074933e-07
EDP x Cost,edp,True,SCAR-style,mobilenet_v3_small_b8_seq1,cnn,4.286064387956149e-06
EDP x Cost,edp,True,SCAR-style,replknet31b_b1_seq1,cnn,0.0002813120513748161
EDP x Cost,edp,True,SCAR-style,replknet31b_b8_seq1,cnn,0.01725744329874438
EDP x Cost,edp,True,Gemini-style,llama3.1_8b_prefill_s1024_b1_seq1024,prefill,0.08037314697018981
EDP x Cost,edp,True,Gemini-style,llama3.1_8b_prefill_s1024_b8_seq1024,prefill,7.869211303724065
EDP x Cost,edp,True,Gemini-style,llama3.1_8b_decode_kv1024_b1_seq1,decode,0.004008888288334992
EDP x Cost,edp,True,Gemini-style,llama3.1_8b_decode_kv1024_b8_seq1,decode,0.017753651522670697
EDP x Cost,edp,True,Gemini-style,llama3.1_70b_prefill_s1024_b1_seq1024,prefill,1.72571299032876
EDP x Cost,edp,True,Gemini-style,llama3.1_70b_prefill_s1024_b8_seq1024,prefill,82.32905199543488
EDP x Cost,edp,True,Gemini-style,llama3.1_70b_decode_kv1024_b1_seq1,decode,0.06352049909988841
EDP x Cost,edp,True,Gemini-style,llama3.1_70b_decode_kv1024_b8_seq1,decode,0.2701838873503931
EDP x Cost,edp,True,Gemini-style,qwen3_30b_a3b_prefill_s1024_b1_seq1024,prefill-MoE,0.0021713011477842332
EDP x Cost,edp,True,Gemini-style,qwen3_30b_a3b_prefill_s1024_b8_seq1024,prefill-MoE,0.3093843679804858
EDP x Cost,edp,True,Gemini-style,qwen3_30b_a3b_decode_kv1024_b1_seq1,decode-MoE,0.00021779456244059675
EDP x Cost,edp,True,Gemini-style,qwen3_30b_a3b_decode_kv1024_b8_seq1,decode-MoE,0.08042401189289444
EDP x Cost,edp,True,Gemini-style,qwen3_235b_a22b_prefill_s1024_b1_seq1024,prefill-MoE,0.024662537050763846
EDP x Cost,edp,True,Gemini-style,qwen3_235b_a22b_prefill_s1024_b8_seq1024,prefill-MoE,3.408283442885337
EDP x Cost,edp,True,Gemini-style,qwen3_235b_a22b_decode_kv1024_b1_seq1,decode-MoE,0.0033729388704028434
EDP x Cost,edp,True,Gemini-style,qwen3_235b_a22b_decode_kv1024_b8_seq1,decode-MoE,1.2435940553493272
EDP x Cost,edp,True,Gemini-style,mobilenet_v3_small_b1_seq1,cnn,1.9846912787944522e-08
EDP x Cost,edp,True,Gemini-style,mobilenet_v3_small_b8_seq1,cnn,6.4123100779269975e-06
EDP x Cost,edp,True,Gemini-style,replknet31b_b1_seq1,cnn,0.00010154312054861544
EDP x Cost,edp,True,Gemini-style,replknet31b_b8_seq1,cnn,0.006085519890372331
